,date,audience,clicks,spend,impressions,reach,total_sessions,completions_F_T,Audience_1,Audience_2,Audience_3,Audience_4,Audience_5,Audience_6,Close_Faster,Closer_Twins,Competitive_Opportunity,SEM_Ads,Unfair_Advantage,Domain_Dsiplay,Facebook,Google_SEM,Linkedin,OTT,User_ID_Display
8857,16/10/2022,5,1,13.94421039,108,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
8858,16/10/2022,5,1,14.78570788,108,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
8859,16/10/2022,5,1,0,2665,166,6,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
8860,16/10/2022,5,12,0,6155,191,9,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8861,16/10/2022,5,4,58.09,677,0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
8862,16/10/2022,5,9,0,6924,202,14,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8863,16/10/2022,5,1,0,2745,261,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8864,16/10/2022,5,14,0,6855,175,19,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8865,16/10/2022,6,7,15.2,159,0,12,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
8866,17/10/2022,1,9,39.067641,7597,4000,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8867,17/10/2022,1,7,38.781211,7591,3983,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8868,17/10/2022,1,0,0,90,4,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8869,17/10/2022,1,9,40.12774,7753,4242,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8870,17/10/2022,1,1,12.17227403,47,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8871,17/10/2022,1,1,9.89337956,31,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8872,17/10/2022,2,5,9.34548,1855,897,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8873,17/10/2022,2,7,9.006446,1777,865,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8874,17/10/2022,2,7,9.204863,1814,939,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8875,17/10/2022,3,11,38.035814,7494,3850,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8876,17/10/2022,3,10,38.726857,7606,3823,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8877,17/10/2022,3,9,38.855953,7555,4066,16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8878,17/10/2022,4,7,196.3089065,1614,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
8879,17/10/2022,4,1,0,669,29,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
8880,17/10/2022,4,25,77.078161,15667,9031,35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8881,17/10/2022,4,24,77.374661,15743,9174,42,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8882,17/10/2022,4,20,310.359745,2364,0,28,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
